Resource_Type,Framework,Name,Use_When,Subject_Line,Content,Notes_Why_It_Works,Industry,Contributor
2 - Winning Principle (Body),ALL,One small specific soft ask,,,"#1 CTA in the data: ""Would you be open to a 20-minute introductory call sometime next week?""",From analysis of all 382 winners,,
2 - Winning Principle (Body),ALL,Under ~130 words,,,60% of winners land in the 76-130 word band; only 20% exceed 130.,From analysis of all 382 winners,,
3 - Email Template,F1 You Already Use Us (Expansion),Template 1A - New stakeholder intro,New person at an existing customer account,Welcome to [Company] / Qualtrics partnership,"Hi [First name], reaching out on behalf of the [Company] account team here at Qualtrics. You may already be using our technology today - [Company] partners with us for a variety of [customer experience / market research] use cases. We work closely with [internal license owner(s)], who own the current license.

We've added some exciting new AI capabilities in the past 12 months that global orgs are just beginning to deploy. I'd love to walk you through what's already in [Company]'s license and share what's new on our roadmap.

Would you be open to a quick 20-minute intro sometime next week?

Best,
[Your name]",,,
4 - Real Example (booked meeting),F1 You Already Use Us (Expansion),Example for 1A - New stakeholder intro,New person at an existing customer account,Welcome to [Company] / Qualtrics partnership,"Hi Sam, great to meet you! Reaching out since I work on the Shamrock Foods account team here at Qualtrics. Our technology is being used for a variety of market research use cases at Shamrock today. We work primarily with Ann Ocana and Sandy Kelly, who are the current license owners.

Would love to make introductions, give you some details about the current capabilities, and share some details about our new Digital Customer Experience platform.

Would you be open to this?

Best, Nick","Why it works: names the real license owners (Ann Ocana, Sandy Kelly) as the credibility bridge; ""what's new"" is a specific product, not a vague claim. [Foodservice]",,
3 - Email Template,F1 You Already Use Us (Expansion),"Template 1B - Cross-department expansion (""are you aware?"")",Exec in another dept of a current customer,Consolidation,"Hi [First name], [Your name] here - wanted to ask if you were aware that [Company] is already a Qualtrics customer? We work closely with your [customer experience / research] team, who leverage us to collect and act on feedback.

I'm reaching out to you specifically because I understand [product/employee experience] falls under your purview, and we've added some advanced AI functionality I figured you'd want to take a look at.

Are you open to setting aside 30 minutes next week to see what that looks like?

[Your name]",,,
4 - Real Example (booked meeting),F1 You Already Use Us (Expansion),"Example for 1B - Cross-department expansion (""are you aware?"")",Exec in another dept of a current customer,Consolidation,"Hi Tim, David here - wanted to reach out and ask if you were aware that NetApp is currently a Qualtrics customer? We work closely with your customer experience and engagement team, as they leverage our solutions to collect and act on customer feedback.

I wanted to reach out to you specifically because I understand product experience falls under your purview, and wanted to let you know we have some advanced AI product functionalities I figured you may be interested to take a peep at.

Are you open to setting aside 30 minutes next week or after to see what that tech looks like? - David","Why it works: ""are you aware?"" hook turns a cold exec into a warm intro, then ties the ask precisely to what that person owns. [Technology]",,
3 - Email Template,F1 You Already Use Us (Expansion),Template 1C - Renewal + expansion / new account director,Rep transition and/or upcoming renewal,Qualtrics Current Partnership,"Hi [First name], I'm the new account director on the [Company] team here at Qualtrics and wanted to introduce myself. I'd love to learn how things are going with your current license and align on your upcoming renewal.

We've also added some exciting new [AI / qualitative] capabilities in the past 12 months that teams like yours are just beginning to deploy - happy to share those as well.

Are you available for 30 minutes Thursday or Friday to connect?

Best,
[Your name]",,,
4 - Real Example (booked meeting),F1 You Already Use Us (Expansion),Example for 1C - Renewal + expansion / new account director,Rep transition and/or upcoming renewal,Qualtrics Current Partnership,"Hi Hunter, I'm on the AmTrust Financial team here at Qualtrics and wanted to introduce myself. We've had some departures here at Qualtrics, and I wanted to connect you with the new account director of the AmTrust Financial team.

I would love to learn how things are going with your current license and discuss your upcoming renewal. We've also added some exciting new qualitative capabilities in the past 12 months that global UX organizations are now beginning to deploy, and would love to share those with you as well.

Are you available for 30 minutes Thursday or Friday to discuss?",Why it works: rep transition + renewal is a perfectly legitimate reason to meet; two specific days make the yes frictionless. [Insurance],,
3 - Email Template,F2 Reconnect / New POC,Template 2A - The classic realign,Prior conversation; you inherited the relationship (most-replied pattern),Reconnecting - [Company] <> Qualtrics,"Hi [First name], great to e-meet you! My name is [Your name] and I work alongside [Colleague] here at Qualtrics.

Based on my notes, it looks like you connected with [Prior rep] back in [year/season] regarding [specific project - e.g. exit-interview surveys / HCAHPS key drivers / pricing]. I wanted to re-introduce [Colleague] and me as your new points of contact.

Qualtrics has made a number of changes since then - including new AI capabilities - so I thought it would be beneficial to reconnect, see where things stand today, and realign on your [2026] priorities.

Would you have 20 minutes end of this week or early next so we can realign?

Best,
[Your name]",,,
4 - Real Example (booked meeting),F2 Reconnect / New POC,Example for 2A - The classic realign,Prior conversation; you inherited the relationship (most-replied pattern),Reconnecting - [Company] <> Qualtrics,"Great to e-meet you! My name is Sara and I work alongside Colin Bowler here at Qualtrics. Based on my notes, it looks like you had connected with Todd Brown beginning of 2024 regarding a number of projects with Qualtrics - including a closed-loop action system and serving key customer insights to call-center agents. At the time, we were looking to connect with the CX team to ensure alignment on their initiatives.

Qualtrics has made a number of changes since 2024, and I thought it would be beneficial for us to reconnect with the Elanco team and see where things are today. Would you have 20-minutes end of this week / early next so we can realign? - All the best, Sara","Why it works: the specific recalled detail (""closed-loop action system... beginning of 2024"") proves real homework - that specificity earns the reply. [Life Sciences - Elanco - REPLIED]",,
3 - Email Template,F2 Reconnect / New POC,Template 2B - Prior rep has left,Contact went quiet after your colleague departed,[Company] <> Qualtrics - new point of contact,"Hi [First name], we haven't had the chance to meet yet, but I wanted to reach out regarding some conversations you had earlier with [Prior rep]. [Prior rep] is unfortunately no longer with Qualtrics, so I'd like to introduce [Colleague] and me as your new points of contact.

We'd love to update you on our real-time [patient experience and CAHPS / employee listening] capabilities. Could we grab a few minutes on the calendar to reconnect - maybe sometime [next week]?

[Your name]",,,
4 - Real Example (booked meeting),F2 Reconnect / New POC,Example for 2B - Prior rep has left,Contact went quiet after your colleague departed,[Company] <> Qualtrics - new point of contact,"Hi Bill - just left you a voicemail. I saw that you had proposed November as a good time to reconnect with our team, so I wanted to introduce Kody and me as your new points of contact. Neil Atkinson is unfortunately no longer with Qualtrics, but we'd be happy to share updates around our real-time patient experience and CAHPS capabilities. Let me know if there's a date/time that'd work best - Kody and I are pretty open next week. - Kamryn Terch","Why it works: honors the prospect's own stated timing (""you proposed November""); second touch after a voicemail - the call+email combo recurs across replied winners. [Healthcare - REPLIED]",,
3 - Email Template,F2 Reconnect / New POC,Template 2C - Reconnect + deadline (RFP / renewal),Lapsed contact with a forcing event coming,Reconnecting before [the RFP / renewal],"Hi [First name], I hope the year's off to a great start! I support [Colleague], who you met with in [season/year]. With [the possibility of an RFP / your renewal] coming up, it felt like the right time to reconnect and catch up.

We've had quite a few changes - both pricing and innovation-wise - and would love to learn more about your strategy this year.

Do you have 15 minutes to reconnect in the coming week or two?

Best,
[Your name]",,,
4 - Real Example (booked meeting),F2 Reconnect / New POC,Example for 2C - Reconnect + deadline (RFP / renewal),Lapsed contact with a forcing event coming,Reconnecting before [the RFP / renewal],"Hi Andrea, I hope the year has been off to a great start! I support Lucy Akoubian, who you met with in Spring 2023. With the possibility of an RFP coming up this year, we thought it would make sense to reconnect and catch up. We've had quite a few changes - both pricing and innovation-wise - and would love to learn more about your strategy this year. Let us know if you'd have time in the coming week or two! - Best, Haley Laufketter","Why it works: names the colleague the prospect already met (Lucy Akoubian, Spring 2023) and the looming RFP as the timing trigger - two reasons to talk, zero pressure. [Healthcare]",,
3 - Email Template,F3 Role + Peer Proof (Cold),Template 3A - Role relevance + named peers,Cold; you know their role and an exact-match peer,[their domain] alignment,"Hi [First name],

After seeing your role as [title] at [Company] and your background in [domain], I wanted to reach out about [the specific outcome they own - e.g. enhancing your member feedback and insights program].

Not sure if you're familiar with Qualtrics, but we're helping similar [industry] organizations - like [Named peer 1] and [Named peer 2] - [achieve specific outcome: analyze feedback across calls, chats, and reviews; build a holistic view of the journey; and pinpoint where and when [customers] fall off]. We pair AI-powered automation with Natural Language Processing to get there.

Would you be open to a brief 15-minute introductory call in the coming weeks to compare approaches?

Best,
[Your name]",,,
4 - Real Example (booked meeting),F3 Role + Peer Proof (Cold),Example for 3A - Role relevance + named peers,Cold; you know their role and an exact-match peer,[their domain] alignment,"Hi Melissa, after seeing your role at Homeowners Advantage and your expertise in mortgage experience, I wanted to reach out regarding the ability to enhance your member feedback and insights program.

Not sure if you are familiar with Qualtrics, but we're working with similar credit unions, like Municipal, to help them achieve member-experience goals such as recording and analyzing member feedback, website and mobile optimization, and developing a holistic view of the member journey. We pair our AI-powered automation with Natural Language Processing to understand where and when members fall off.

If you're available, I'd like to connect in April for brief introductions. Do you have availability in the coming weeks? - Best, Jack","Why it works: the peer (Municipal, a fellow credit union) is an exact-match proof point; value phrased as THEIR goals, not features. [FSI Credit Union]",,
3 - Email Template,F3 Role + Peer Proof (Cold),"Template 3B - ""By way of introduction"" + peer cohort",Cold enterprise outreach with big-logo peers,[Company] contact center initiatives,"[First name],

By way of introduction, my name is [Your name] and I work on the [Company] account team here at Qualtrics. Given your role leading [area], I believe it'd be beneficial to connect.

We'd love to review how many of your peers - including companies like [Peer 1], [Peer 2], and [Peer 3] - have used our platform to [ingest, analyze, and act on customer interactions across calls, chats, emails, surveys, and reviews], along with the significant cost savings they're finding.

Please let me know if you or one of your directs has availability for a brief introductory call in the coming weeks.

Best,
[Your name]",,,
4 - Real Example (booked meeting),F3 Role + Peer Proof (Cold),"Example for 3B - ""By way of introduction"" + peer cohort",Cold enterprise outreach with big-logo peers,[Company] contact center initiatives,"Dean, by way of introduction, my name is Jack Hicks and I work on the KeyBank account team directly with our National Account Director, Kyle Scheerer. Kyle works closely with Era Ziroe's team helping with Customer Experience, VOC, and research initiatives.

In seeing your role leading automation in the contact center, we thought it may be beneficial to connect, given the enormous amount of customer feedback available with contact-center analytics and quality-management automation. We'd love to walk through our perspective and review how many of your peers - including companies like Citi, AMEX, and JPMC - have used our platform to enhance their current program.

Please let me know if you or one of your directs are available for a brief introductory call either this month or November. - Best, Jack","Why it works: three instantly-recognizable banking peers (Citi, AMEX, JPMC) do the heavy lifting; ""you or one of your directs"" widens the path to yes. [Enterprise FSI]",,
3 - Email Template,F3 Role + Peer Proof (Cold),Template 3C - Competitor displacement / benchmark,They use a competitor (e.g. Medallia),cx platform comparison,"Hi [First name], it's possible you've had some exposure to Qualtrics over the past few years. We understand [Company] currently leverages [Competitor] for your CX program. Is now a good time to benchmark what you're doing today vs. what the future could look like?

I'd like to connect you with the [Company] account head to review the conversations we're having in other departments, along with the advances we've made in AI, NLP, and omnichannel CX.

Is there a time that works to connect over the next couple weeks?

Best,
[Your name]",,,
4 - Real Example (booked meeting),F3 Role + Peer Proof (Cold),Example for 3C - Competitor displacement / benchmark,They use a competitor (e.g. Medallia),cx platform comparison,"Hi Maria, it's possible you've had some exposure to Qualtrics over the past few years. We understand Comerica currently leverages Medallia for your CX program. Is now a good time to benchmark what you're doing in Medallia today vs. what the future could look like?

I'd like to connect you with the Comerica account head to review the discussions we're having in other departments, as well as the advances we've made with AI, NLP, and Omnichannel CX - making us the market leader for 2024.

Is there a time that works for you to connect over the next couple weeks? - Best, Jack","Why it works: names the incumbent (Medallia) directly and reframes the ask as a low-stakes ""benchmark,"" not rip-and-replace - easy yes even under contract. [Enterprise FSI]",,
3 - Email Template,F4 Trigger Strike (Intent/Signal),Template 4A - Intent signal (demo / content / pricing),"They watched a demo, viewed content, or asked for pricing",Qualtrics - following up,"Hi [First name], just gave you a call. I saw that you [watched one of our demo videos / requested pricing on [product] / looked into some of our content], so I wanted to introduce myself as your resource and POC here at Qualtrics.

I'd love to set up time to make introductions, better understand your interest, and speak to Qualtrics in that context. Do you have 15-20 minutes this week or next? Feel free to grab a time on my Calendly whenever works.

Best,
[Your name]",,,
4 - Real Example (booked meeting),F4 Trigger Strike (Intent/Signal),Example for 4A - Intent signal (demo / content / pricing),"They watched a demo, viewed content, or asked for pricing",Qualtrics - following up,"Hi Lisa, just gave you a call. I saw that you watched one of our demo videos, and wanted to introduce myself as an available resource/POC for you. I'd love to set up some time to make introductions, better understand your interest, and speak to Qualtrics in that context. Do you have 20 minutes this week or next? Can't wait to meet! - Sara","Why it works: short, fast, reactive - references the exact action they took and positions the rep as a helpful POC, not a pitch. Phone call first. [Life Sciences - Novo - REPLIED]",,
3 - Email Template,F4 Trigger Strike (Intent/Signal),Template 4B - New-role congrats,Prospect just started or was promoted,future alignment with [Company],"Hi [First name], major congrats on the new role at [Company] - exciting to see! I know you'd had some conversations with Qualtrics a while back, and figured now might be a good time to reconnect.

We're working with [peer leaders / similar teams] to [outcome - e.g. get closer to the customer experience using real-time feedback]. As you look to make an immediate impact, we'd love to share how we can be a resource.

Would you be open to a quick intro this week or next?

Best,
[Your name]",,,
4 - Real Example (booked meeting),F4 Trigger Strike (Intent/Signal),Example for 4B - New-role congrats,Prospect just started or was promoted,future alignment with [Company],"Hi Jan, congrats on the recent move into the SVP seat - exciting to see! I know you'd had some conversations with Qualtrics a while back, and figured now might be a good time to reconnect.

We're working with marketing leaders to get closer to the tenant and shopper experience - using real-time feedback to refine messaging, spot friction early, and keep brand and leasing goals aligned. Especially now, with more pressure to keep centers full and campaigns measurable across markets, the timing felt right to reach out.

Would you be open to a quick strategy comparison?",Why it works: the promotion is the permission to reach out; value tied to what a newly-promoted leader cares about - early measurable impact. [FSI - Visa],,
3 - Email Template,F4 Trigger Strike (Intent/Signal),Template 4C - Public initiative / report trigger,"They published an article, spoke at an event, or issued a report",[their published initiative],"Hi [First name], I really enjoyed reading about [your approach to [topic] in the recent [article] / the [Report Name] from [month/year]]. [Restate their stated priority - e.g. understanding the drivers of burnout and turnover is paramount for [their goal]].

Qualtrics helps [peer type] gain continuous, actionable insight into [the experience], so you can proactively identify pain points before they grow. We've seen this [reduce call volumes by 23% / cut research timelines from months to days] by surfacing root causes hidden in siloed data.

Would you be open to a brief 15-minute chat this week or next to explore how this could support [their goal]?

Best,
[Your name]",,,
4 - Real Example (booked meeting),F4 Trigger Strike (Intent/Signal),Example for 4C - Public initiative / report trigger,"They published an article, spoke at an event, or issued a report",[their published initiative],"Hi Stephen, I really enjoyed reading about your approach to ED efficiency in the recent Becker's article. I was specifically intrigued by your dashboards and the framework you have in place for optimizing ED performance. We're working with other ambulatory leaders on improving many of the ED metrics mentioned (length of stay, wait times, throughput times, etc.) by integrating patient experience data with their clinical data. Our leadership would love to connect with you to gain your perspective on your data-driven approach to ED efficiency and share some strategies/thought leadership as well. Could we find a few minutes to connect, possibly the first or second week of April? - Let me know, Mikaila","Why it works: quotes their published work specifically (""dashboards,"" ""ED performance framework"") and mirrors their language back with relevant metrics - pure earned relevance. [Healthcare - Becker's - REPLIED]",,
3 - Email Template,F4 Trigger Strike (Intent/Signal),Template 4D - Inbound contact request (fastest yes),They submitted a contact/pricing request,(no subject needed - reply context),"Hi [First name], just gave you a call. I received your request for contact and wanted to introduce myself as your available resource/POC. I'd love to set up time to discuss what you mentioned in your notes. Do you have 15-20 minutes this week or next? Feel free to grab a time on my Calendly whenever works - looking forward to it!

[Your name]",,,
4 - Real Example (booked meeting),F4 Trigger Strike (Intent/Signal),Example for 4D - Inbound contact request (fastest yes),They submitted a contact/pricing request,(no subject needed - reply context),Just gave you a call. I received your request for contact and wanted to introduce myself as an available resource/POC for you. I'd love to set up some time to discuss what you had mentioned in your notes. Do you have 15/20 minutes this week or next? Feel free to grab a time on my Calendly link whenever works for you. Looking forward to hearing from you! - Kyle,Why it works: the prospect raised their hand first - the only job is to make scheduling effortless: call + email + self-serve Calendly. Speed is the whole game. [Education K-12 - REPLIED],,
3 - Email Template,F5 Borrowed Trust (Referral/On-site),Template 5A - Referral / internal sponsor,A trusted person can be named as the reason for outreach,[Referrer]'s suggestion,"Hi [First name], I'm reaching out at the suggestion of [Referrer + title], who recommended I connect with you regarding [topic] - they felt it would be valuable for [team / strategic goal].

[One line of relevance: We help [peer type] like [Peer 1] and [Peer 2] [outcome].]

Would you be available for a brief 15-20 minute meeting the week of [date] to explore whether this could support [their goal]?

Thank you,
[Your name]",,,
4 - Real Example (booked meeting),F5 Borrowed Trust (Referral/On-site),Example for 5A - Referral / internal sponsor,A trusted person can be named as the reason for outreach,[Referrer]'s suggestion,"Hey Jason, I'm reaching out at the suggestion of David Ellis, the County Manager. He recommended I connect with you regarding our platform, as he believes it would be of interest to the county. Would you be available for a brief meeting the week of the 25th to discuss how our platform could be a valuable asset for your strategic goals? Thank you!","Why it works: the entire email rides on one borrowed name (the County Manager). When a trusted internal figure sends you, you barely need a value prop. [Government SLG]",,
3 - Email Template,F5 Borrowed Trust (Referral/On-site),Template 5B - On-site / AE in town,Your AE/team will be physically in their city,In [City] next week,"Hi [First name], my name is [Your name] and I work for Qualtrics. [Peer orgs - e.g. agencies in the State of Texas, Harris County, and the City of Houston] currently partner with us to improve [resident, customer, and employee experiences].

My account executive [AE name] will be in [City] next week meeting with a few of our current clients. Given [Company]'s work on [initiative], are you available for them to stop by for 20 minutes to introduce themselves?

Thanks,
[Your name]",,,
4 - Real Example (booked meeting),F5 Borrowed Trust (Referral/On-site),Example for 5B - On-site / AE in town,Your AE/team will be physically in their city,In [City] next week,"Hi Devesh, I'm on the Qualtrics team supporting Dave & Buster's. We're the leading experience management company working with groups like Delta, PGA TOUR, and Disney to power their guest & employee experience programs.

My team is going to be in Dallas on March 4th & 5th, so I wanted to ask if you'd be in town to chat for a few mins. We'd love to introduce ourselves and hear your perspective on how better listening/sentiment could benefit your initiatives.

Possible to find ~10 mins while we're there? Even if just to say hello or grab a coffee. - Cheers, Amber","Why it works: the in-person window (Dallas, March 4-5) creates natural scarcity; tiny ask (""~10 mins... even just to say hello""); recognizable peers (Delta, PGA TOUR, Disney). [Hospitality/Gaming]",,
3 - Email Template,F5 Borrowed Trust (Referral/On-site),Template 5C - Colleague-sourced insight,A colleague heard interest from inside the account,[Colleague]'s conversations <> Qualtrics,"Hi [First name], great to meet you! My colleague [Colleague] has been hearing from [Company]'s [team - e.g. Research Operations] that there could be interest in [topic - e.g. our AI text-analytics capabilities].

Our AI helps decrease the time spent taking action - with recommended responses to customer emails, texts, chats, and reviews. I'd love to share how it's being used and where it could fit for your team.

Would you be open to connecting in the coming weeks?

Best,
[Your name]",,,
4 - Real Example (booked meeting),F5 Borrowed Trust (Referral/On-site),Example for 5C - Colleague-sourced insight,A colleague heard interest from inside the account,[Colleague]'s conversations <> Qualtrics,"Hi Meghan, reaching out on behalf of the Zillow account team here at Qualtrics. Are you aware that Zillow and Qualtrics partner together on a wide variety of customer and employee experience use cases?

My colleague Nate White has been hearing from Zillow's Research Operations team that there could be some interest in learning more about Qualtrics' AI capabilities from a text-analytics perspective in your organization. Our AI helps decrease time spent taking action with recommended responses to customer emails, texts, chats, and reviews.

Would you be open to connecting to share the current usage of the Qualtrics license and some of our new AI functionality? - Best","Why it works: surfaces a warm signal from inside the account (""Nate has been hearing from your Research Ops team"") - the outreach feels invited, not cold. [Real Estate - Zillow]",,
5 - Subject Line Rule,ALL,Rule 1 - Short wins,,,"<=4 words for cold, <=6 for warm. Gong/30MPC (85M emails): 1-4 words, shorter = higher open. Lavender (500M emails): sweet spot 36-50 chars (~4-7 words). Source doc median: 4 words / 27 chars.","Sources: Lavender, Gong, 30MPC, Outreach (see Sources rows)",,
5 - Subject Line Rule,ALL,Rule 2 - all lowercase,,,"All four sources favor all-lowercase (proper nouns excepted) - reads like a note from a colleague, not a campaign.","Sources: Lavender, Gong, 30MPC, Outreach (see Sources rows)",,
5 - Subject Line Rule,ALL,Rule 3 - Internal camouflage,,,"Biggest idea from Gong/30MPC: mirror how the buyer's coworkers email them - short noun phrases like ""trial delays"", ""hiring ops"", ""2024 forecasts"". Cold subjects should NOT contain ""Qualtrics""; warm ones may.","Sources: Lavender, Gong, 30MPC, Outreach (see Sources rows)",,
5 - Subject Line Rule,ALL,Rule 4 - Never sell or buzzword in the subject,,,"Gong: pitching reduces replies by up to 57%. Do not say ""AI"" or use buzzwords in the subject - save it for the body.","Sources: Lavender, Gong, 30MPC, Outreach (see Sources rows)",,
5 - Subject Line Rule,ALL,Rule 5 - Personalize,,,"Outreach/Lavender: personalized subjects lift opens 22-50% (deep personalization 40%+). Reference THEIR company, role, or event - not your product.","Sources: Lavender, Gong, 30MPC, Outreach (see Sources rows)",,
5 - Subject Line Rule,ALL,"Rule 6 - No ""?"" or numbers in COLD",,,Lavender: questions -56% and numbers -46% opens in cold. (Outreach finds both help in warm/nurture - so questions/numbers are OK for F1/F2/F5 warm threads only.),"Sources: Lavender, Gong, 30MPC, Outreach (see Sources rows)",,
5 - Subject Line Rule,ALL,Rule 7 - Subject + first line work as a pair,,,30MPC: the subject sets up the opener; don't waste the subject repeating the first line.,"Sources: Lavender, Gong, 30MPC, Outreach (see Sources rows)",,
5 - Subject Line Rule,ALL,Benchmark,,,Lavender: good cold open rate = 25-40%; excellent = 40%+; below 15% = subject line or deliverability problem. A/B test ONE variable on a 20-30 prospect split.,"Sources: Lavender, Gong, 30MPC, Outreach (see Sources rows)",,
6 - Subject Line Strategy,F1 You Already Use Us (Expansion),Subject strategy - F1 You Already Use Us (Expansion),,,"Warm - relationship is the hook; ""Qualtrics/[Company]"" looks like a real internal thread; connectors (<>, |, +) reinforce it. Questions OK.","A/B: ""[Company] <> Qualtrics"" (relationship) vs ""quick one on [Company]'s setup"" (curiosity). Strongest single performer: ""Consolidation"" - one internal-sounding noun.",,
7 - Subject Line Template,F1 You Already Use Us (Expansion),Subject template,,[Company] <> Qualtrics,,,,
7 - Subject Line Template,F1 You Already Use Us (Expansion),Subject template,,[Company] + Qualtrics partnership,,,,
7 - Subject Line Template,F1 You Already Use Us (Expansion),Subject template,,your [Company] license,,,,
7 - Subject Line Template,F1 You Already Use Us (Expansion),Subject template,,[team] @ [Company] <> Qualtrics,,,,
7 - Subject Line Template,F1 You Already Use Us (Expansion),Subject template,,quick one on [Company]'s setup,,,,
8 - Subject Line Real Examples,F1 You Already Use Us (Expansion),Real subjects from source doc,,,Welcome to Shamrock / Qualtrics partnership | Qualtrics | ex insights | Consolidation | new AI features <> Qualtrics | Qualtrics Current Partnership,,,
6 - Subject Line Strategy,F2 Reconnect / New POC,Subject strategy - F2 Reconnect / New POC,,,Warm - prior relationship earns a low-key subject; the ONE place a question is allowed.,"A/B: ""reconnecting"" (plain) vs ""circling back on [project]"" (specific recall - usually wins; mirrors the body's ""based on my notes..."").",,
7 - Subject Line Template,F2 Reconnect / New POC,Subject template,,reconnecting,,,,
7 - Subject Line Template,F2 Reconnect / New POC,Subject template,,picking back up - [Company],,,,
7 - Subject Line Template,F2 Reconnect / New POC,Subject template,,[Company] <> Qualtrics,,,,
7 - Subject Line Template,F2 Reconnect / New POC,Subject template,,circling back on [project],,,,
7 - Subject Line Template,F2 Reconnect / New POC,Subject template,,did you get my voicemail?,,,,
7 - Subject Line Template,F2 Reconnect / New POC,Subject template,,new POC for [Company],,,,
8 - Subject Line Real Examples,F2 Reconnect / New POC,Real subjects from source doc,,,Qualtrics reconnect | Reconnecting: Employee experience updates | Did you get my Voicemail? | Future alignment with Visa,,,
6 - Subject Line Strategy,F3 Role + Peer Proof (Cold),Subject strategy - F3 Role + Peer Proof (Cold),,,"PURE COLD - strictest rules: no ""Qualtrics"", no pitch, 1-3 lowercase words, internal camouflage. Name THEIR initiative/metric as if a coworker flagged it. No ""?"" or numbers.","A/B: ""member insights"" (their initiative) vs ""Citi + your program"" (peer proof). Displacement: ""medallia vs. qualtrics"". Do NOT put ""AI"" in a cold subject.",,
7 - Subject Line Template,F3 Role + Peer Proof (Cold),Subject template,,"[their initiative] (e.g. ""member insights"")",,,,
7 - Subject Line Template,F3 Role + Peer Proof (Cold),Subject template,,"[their metric] (e.g. ""CAHPS scores"")",,,,
7 - Subject Line Template,F3 Role + Peer Proof (Cold),Subject template,,"[peer] + [their company] (e.g. ""Citi + your CX program"")",,,,
7 - Subject Line Template,F3 Role + Peer Proof (Cold),Subject template,,"quick question, [first name]",,,,
7 - Subject Line Template,F3 Role + Peer Proof (Cold),Subject template,,[domain] benchmarks,,,,
7 - Subject Line Template,F3 Role + Peer Proof (Cold),Subject template,,[team] priorities,,,,
8 - Subject Line Real Examples,F3 Role + Peer Proof (Cold),Real subjects from source doc,,,member insights program | digital experience planning | marketing insights alignment | ux & design feedback loop | Omnichannel Intelligence | cx platform comparison,,,
6 - Subject Line Strategy,F4 Trigger Strike (Intent/Signal),Subject strategy - F4 Trigger Strike (Intent/Signal),,,"The trigger is the most personalized hook you will ever have - use it literally (demo, visit, article, new role). Specificity drives the open.","A/B: ""re: your demo"" (internal-reply camouflage; tends to over-perform - body must honestly reference the trigger) vs ""congrats - [Company]"" (new-role).",,
7 - Subject Line Template,F4 Trigger Strike (Intent/Signal),Subject template,,re: your [demo / visit],,,,
7 - Subject Line Template,F4 Trigger Strike (Intent/Signal),Subject template,,following your [Becker's article / report],,,,
